sample_name,sample_status,sample_status_code,genome_copies,sensor
S1,negative,0,0,553
S2,negative,0,0,1011
S3,negative,0,0,613
S4,negative,0,0,558
S5,negative,0,0,211
S6,negative,0,0,397
S7,negative,0,0,678
S8,negative,0,0,1128
S9,negative,0,0,798
S10,negative,0,0,284
S11,negative,0,0,650
S12,negative,0,0,550
S13,negative,0,0,1011
S14,negative,0,0,300
S15,negative,0,0,603
S16,negative,0,0,222
S17,negative,0,0,95
S18,negative,0,0,1200
S19,negative,0,0,1800
S20,negative,0,0,711
S21,negative,0,0,2300
S22,negative,0,0,5002
S23,negative,0,0,500
S24,negative,0,0,755
S25,negative,0,0,994
S26,negative,0,0,487
S27,negative,0,0,54
S28,negative,0,0,778
S29,negative,0,0,1185
S30,negative,0,0,597
S31,positive,1,750,1100
S32,positive,1,750,1400
S33,positive,1,750,500
S34,positive,1,750,2300
S35,positive,1,750,2800
S36,positive,1,1000,955
S37,positive,1,1000,3200
S38,positive,1,1000,2500
S39,positive,1,1000,3030
S40,positive,1,1000,4145
S41,positive,1,5000,5007
S42,positive,1,5000,3989
S43,positive,1,5000,4251
S44,positive,1,5000,5574
S45,positive,1,5000,2645
S46,positive,1,10000,5982
S47,positive,1,10000,7657
S48,positive,1,10000,7867
S49,positive,1,10000,9090
S50,positive,1,10000,8211
S51,positive,1,25000,11755
S52,positive,1,25000,13228
S53,positive,1,25000,9944
S54,positive,1,25000,11434
S55,positive,1,25000,1100
S56,positive,1,100000,17888
S57,positive,1,100000,15343
S58,positive,1,100000,15898
S59,positive,1,100000,16454
S60,positive,1,100000,13484
